u4euh,Jesus_,1
dpbkmb,mommykennedy,1
rmolden,brookehaskins,1
gratitudelove,1KC,1
judismile,UCYIMD1,1
baciami1st,Frenz4Life,1
triciadycka,TheLifehackPost,1
dorisjeanette,jodonahue,1
mscarolina843,DAREvolutionary,1
darn_republican,AmericaMajority,1
carelea,hj2,1
carelea,sqa,1
mrsfooliebear,elprofe316,1
wbilliam66,ncwinters,1
gregarious,db,1
delphrb,theRab,1
angelique79,POSHDASOCIALITE,1
xurras,bodrell,1
lapsedpacifist,mashableReminder,1
makenzesgranna,filipalinharesRT,1
scarletmandy,ruhanirabin,1
barron00,misterpeabody,1
baseball_mommy,jonnerz,1
savasavasava,scd,1
pamelam,SherryPCMO,1
susanweiner,rwohlner,1
grist,TheTBar,1
daveriich,BeyonceWorld,1
kngfu,onf,1
reduced,OrangeXW,1
adrianakraft,PaulasPleasures,2
jmoservices,AlethaMcManama,1
l0renelaine,RichRosdal,1
hospice4animals,mam1cutie,1
jmedvm,DogCastRadio,1
michaeldeverett,N8I,1
revegas,EasyWorldJulia,1
dianetate,BruceBarone,1
ponor,jea,1
bhandarimegha,abhijeetsingh07,1
bhandarimegha,MTVindia,1
kaekonakagawa,pandjcrafts,1
hoboprophet,IHospitalitySam,1
hoboprophet,CiaoBella50,1
hoboprophet,liamalexander,1
hoboprophet,ulcma,1
hoboprophet,per_capita,1
hoboprophet,andrewspong,1
rhappe,cdn,1
michelemehl,cdn,2
faceoutbooks,n8w,1
theheadsofstate,n8w,1
micole_,TamekaRaymond,1
micole_,NicomaVO,1
mysportsrumors,gx5,1
sinncity,NBA,1
therecordhouse,Joseph_One,1
brittanyj,thematchesband,1
hrkovar,parksideq,1
tanker9o9,Lugoves,1
gpmpk,rqc,1
ourwisdomshared,iam_spartacus,1
stocksorgolf,nogimmies,1
leadertalk,steveroesler,2
rynemeadors,TrendyMinds,1
cardboxdiva,njwedding,1
alliefoell,ErinLucas,1
djrickyruckkus,AL_FIERCE,1
dcra,wcp,1
splashri,TGN,1
bethlapides,undasea,1
bethlapides,MyFengShuiLife,1
bethlapides,iget2work,1
jercrowle,kk,1
xensin,gyt,1
gialyons,gyehuda,1
shannoetry,alotus_poetry,1
